2021-04-01 19:23:41	2021-04-01 19:23:41	SPY	399.54 (4500)  	399.55 (1100) 
updateMktDepth 1002 95 1 0 400.49 3
updateMktDepth 1002 96 1 0 400.5 7
updateMktDepth 1002 97 1 0 400.52 1
updateMktDepth 1002 98 1 0 400.57 2
updateMktDepth 1002 99 1 0 400.59 13
updateMktDepth 1002 0 1 1 399.53 4
updateMktDepth 1002 1 1 1 399.52 6
updateMktDepth 1002 2 1 1 399.51 4
updateMktDepth 1002 3 1 1 399.5 34
updateMktDepth 1002 4 1 1 399.49 74
updateMktDepth 1002 5 1 1 399.48 25
updateMktDepth 1002 6 1 1 399.47 31
updateMktDepth 1002 7 1 1 399.46 19
